"","Species","Site","Nstar","Nstar_prime","LNstar","LNstar_prime","DeltaN","DeltaLN"
"V82",8,3,3.74423435038287,3.84801250253863,1.32021715024162,1.34755678189866,0.103778152155756,0.0273396316570391
"V92",9,3,0.985517575613834,0.987306525979027,-0.0145883183385127,-0.0127747244615031,0.00178895036519311,0.00181359387700953
"V102",10,3,1.00100868172731,1.23924939036212,0.00100817334972906,0.214505865977426,0.238240708634807,0.213497692627697
"V112",11,3,1.00005711455597,1.7061981585381,5.71129249967546e-05,0.534267596215177,0.706141043982128,0.534210483290181
"V122",12,3,0.999161991391708,1.40268548681718,-0.000838359933795003,0.338388604084972,0.403523495425472,0.339226964018767
"V15",1,4,8.56888458585601,9.60673135499655,2.14813757079665,2.26246403557212,1.03784676914054,0.114326464775465
"V23",2,4,3.53656729349046e-06,3.84754325522073e-06,-12.5523539923776,-12.468075728874,3.10975961730269e-07,0.0842782635035244
"V33",3,4,0.700420601070076,0.781044274072546,-0.35607426571049,-0.247123441795886,0.08062367300247,0.108950823914605
"V43",4,4,3.60586098014685e-05,3.8889317194219e-05,-10.2303648933042,-10.1547909673121,2.8307073927505e-06,0.0755739259921351
"V53",5,4,1.10300571785619,1.16472536251476,0.0980389241710627,0.152485318895863,0.0617196446585699,0.0544463947248005
"V63",6,4,1.96062697286538,2.05793816017785,0.673264306205401,0.721704588455946,0.0973111873124679,0.048440282250545
"V73",7,4,1.42090310425246,1.47981447851916,0.351292658368113,0.391916727566845,0.0589113742667047,0.040624069198732
"V83",8,4,2.85928721832957,3.01880955639262,1.05057236940992,1.10486256704985,0.159522338063047,0.0542901976399277
"V93",9,4,0.974332029523286,0.974839633262645,-0.0260031406959493,-0.0254823002173747,0.000507603739359652,0.000520840478574473
"V103",10,4,1.00089271662647,1.03787330659389,0.000892318391968779,0.0371737219898022,0.0369805899674207,0.0362814035978335
"V113",11,4,1.00009206691908,65.713885914366,9.2062681180243e-05,4.1853102564975,64.713793847447,4.18521819381632
"V123",12,4,0.987866508483777,1.04124039607444,-0.0122077032335069,0.0404126909984603,0.0533738875906655,0.0526203942319672
"V16",1,5,7.44666071883472,8.51347569314383,2.00776570624855,2.14165028377891,1.06681497430911,0.133884577530361
